Image,Total_Boxes,Retained_Boxes,Average_Confidence,GT_Count,OCR_JP_Count,Matched_Count,Precision,Recall,F1
tr_img_06366,5,2,0.8880,2,2,1,0.5000,0.5000,0.5000
tr_img_06367,2,1,0.9941,2,1,1,1.0000,0.5000,0.6667
tr_img_06368,1,1,0.7878,1,1,0,0.0000,0.0000,0.0000
tr_img_06369,7,2,0.9967,5,2,1,0.5000,0.2000,0.2857
tr_img_06370,5,1,0.9583,4,1,1,1.0000,0.2500,0.4000
tr_img_06371,2,0,0.0000,6,0,0,0.0000,0.0000,0.0000
tr_img_06372,4,3,0.9957,3,3,3,1.0000,1.0000,1.0000
tr_img_06373,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06374,5,3,0.9431,3,3,0,0.0000,0.0000,0.0000
tr_img_06375,17,6,0.9592,6,6,4,0.6667,0.6667,0.6667
tr_img_06376,4,1,0.8106,2,1,0,0.0000,0.0000,0.0000
tr_img_06377,4,1,0.9959,2,1,1,1.0000,0.5000,0.6667
tr_img_06378,0,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06379,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06380,3,2,0.9969,10,2,1,0.5000,0.1000,0.1667
tr_img_06381,4,4,0.8866,13,4,2,0.5000,0.1538,0.2353
tr_img_06382,5,2,0.8550,2,2,0,0.0000,0.0000,0.0000
tr_img_06383,2,2,0.9362,2,2,2,1.0000,1.0000,1.0000
tr_img_06384,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06385,2,0,0.0000,6,0,0,0.0000,0.0000,0.0000
tr_img_06386,3,1,0.9968,7,1,1,1.0000,0.1429,0.2500
tr_img_06387,7,4,0.9170,5,4,2,0.5000,0.4000,0.4444
tr_img_06388,3,1,0.9819,2,1,1,1.0000,0.5000,0.6667
tr_img_06389,9,3,0.9976,3,3,3,1.0000,1.0000,1.0000
tr_img_06390,2,1,0.8463,1,1,0,0.0000,0.0000,0.0000
tr_img_06391,19,5,0.9853,5,5,3,0.6000,0.6000,0.6000
tr_img_06392,11,7,0.9293,7,7,3,0.4286,0.4286,0.4286
tr_img_06393,1,1,0.8649,1,1,0,0.0000,0.0000,0.0000
tr_img_06394,11,5,0.9956,12,5,3,0.6000,0.2500,0.3529
tr_img_06395,5,1,0.9970,6,1,1,1.0000,0.1667,0.2857
tr_img_06396,1,1,0.9981,2,1,1,1.0000,0.5000,0.6667
tr_img_06397,14,5,0.9105,25,5,2,0.4000,0.0800,0.1333
tr_img_06398,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06399,2,1,0.9728,2,1,1,1.0000,0.5000,0.6667
tr_img_06400,12,5,0.9112,5,5,1,0.2000,0.2000,0.2000
tr_img_06401,2,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06402,3,1,0.7014,19,1,0,0.0000,0.0000,0.0000
tr_img_06403,13,6,0.9056,28,6,0,0.0000,0.0000,0.0000
tr_img_06404,19,13,0.9332,19,13,3,0.2308,0.1579,0.1875
tr_img_06405,17,9,0.9758,34,9,6,0.6667,0.1765,0.2791
tr_img_06406,1,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06407,10,5,0.9453,4,5,4,0.8000,1.0000,0.8889
tr_img_06408,14,9,0.9587,14,9,3,0.3333,0.2143,0.2609
tr_img_06409,20,15,0.9543,35,15,4,0.2667,0.1143,0.1600
tr_img_06410,15,12,0.9599,18,12,10,0.8333,0.5556,0.6667
tr_img_06411,5,3,0.9561,3,3,1,0.3333,0.3333,0.3333
tr_img_06412,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06413,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06414,5,3,0.9449,3,3,2,0.6667,0.6667,0.6667
tr_img_06415,5,3,0.9098,10,3,2,0.6667,0.2000,0.3077
tr_img_06416,3,2,0.8826,3,2,1,0.5000,0.3333,0.4000
tr_img_06417,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06418,2,1,0.9966,1,1,1,1.0000,1.0000,1.0000
tr_img_06419,13,10,0.9397,13,10,4,0.4000,0.3077,0.3478
tr_img_06420,4,0,0.0000,4,0,0,0.0000,0.0000,0.0000
tr_img_06421,6,1,0.9967,4,1,1,1.0000,0.2500,0.4000
tr_img_06422,3,3,0.9095,3,3,0,0.0000,0.0000,0.0000
tr_img_06423,4,3,0.9935,3,3,3,1.0000,1.0000,1.0000
tr_img_06424,2,1,0.9165,1,1,0,0.0000,0.0000,0.0000
tr_img_06425,11,4,0.8599,3,4,0,0.0000,0.0000,0.0000
tr_img_06426,5,2,0.7969,3,2,1,0.5000,0.3333,0.4000
tr_img_06427,37,13,0.9185,4,13,0,0.0000,0.0000,0.0000
tr_img_06428,5,1,0.9875,1,1,0,0.0000,0.0000,0.0000
tr_img_06429,4,3,0.9967,3,3,3,1.0000,1.0000,1.0000
tr_img_06430,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06431,8,3,0.8715,27,3,0,0.0000,0.0000,0.0000
tr_img_06432,1,1,0.7320,3,1,0,0.0000,0.0000,0.0000
tr_img_06433,1,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06434,2,1,0.9959,1,1,1,1.0000,1.0000,1.0000
tr_img_06435,3,2,0.9521,3,2,1,0.5000,0.3333,0.4000
tr_img_06436,2,1,0.9016,1,1,1,1.0000,1.0000,1.0000
tr_img_06437,3,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06438,10,2,0.9772,5,2,1,0.5000,0.2000,0.2857
tr_img_06439,5,1,0.8632,3,1,0,0.0000,0.0000,0.0000
tr_img_06440,6,2,0.9995,2,2,2,1.0000,1.0000,1.0000
tr_img_06441,2,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06442,7,2,0.9737,2,2,0,0.0000,0.0000,0.0000
tr_img_06443,6,3,0.9464,3,3,1,0.3333,0.3333,0.3333
tr_img_06444,3,1,0.9968,2,1,1,1.0000,0.5000,0.6667
tr_img_06445,2,1,0.9803,1,1,0,0.0000,0.0000,0.0000
tr_img_06446,17,8,0.9116,8,8,5,0.6250,0.6250,0.6250
tr_img_06447,17,7,0.9063,8,7,2,0.2857,0.2500,0.2667
tr_img_06448,4,3,0.9987,3,3,3,1.0000,1.0000,1.0000
tr_img_06449,4,3,0.9721,3,3,2,0.6667,0.6667,0.6667
tr_img_06450,2,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06451,2,1,0.7744,6,1,0,0.0000,0.0000,0.0000
tr_img_06452,8,2,0.8353,11,2,0,0.0000,0.0000,0.0000
tr_img_06453,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06454,2,0,0.0000,8,0,0,0.0000,0.0000,0.0000
tr_img_06455,2,1,0.9600,1,1,1,1.0000,1.0000,1.0000
tr_img_06456,5,5,0.9310,8,5,2,0.4000,0.2500,0.3077
tr_img_06457,8,4,0.9537,3,4,3,0.7500,1.0000,0.8571
tr_img_06458,2,2,0.8627,2,2,0,0.0000,0.0000,0.0000
tr_img_06459,3,0,0.0000,4,0,0,0.0000,0.0000,0.0000
tr_img_06460,13,6,0.9089,5,6,3,0.5000,0.6000,0.5455
tr_img_06461,1,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06462,1,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06463,5,4,0.8974,8,4,2,0.5000,0.2500,0.3333
tr_img_06464,18,3,0.9369,3,3,2,0.6667,0.6667,0.6667
tr_img_06465,0,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06466,6,2,0.9318,2,2,1,0.5000,0.5000,0.5000
tr_img_06467,4,1,0.7172,1,1,1,1.0000,1.0000,1.0000
tr_img_06468,3,0,0.0000,4,0,0,0.0000,0.0000,0.0000
tr_img_06469,11,5,0.9597,6,5,0,0.0000,0.0000,0.0000
tr_img_06470,6,3,0.9285,2,3,1,0.3333,0.5000,0.4000
tr_img_06471,2,1,0.9539,1,1,1,1.0000,1.0000,1.0000
tr_img_06472,10,3,0.9514,5,3,3,1.0000,0.6000,0.7500
tr_img_06473,5,1,0.7634,3,1,0,0.0000,0.0000,0.0000
tr_img_06474,2,1,0.9152,1,1,0,0.0000,0.0000,0.0000
tr_img_06475,1,1,0.9926,1,1,1,1.0000,1.0000,1.0000
tr_img_06476,7,3,0.8881,6,3,2,0.6667,0.3333,0.4444
tr_img_06477,3,1,0.9985,1,1,1,1.0000,1.0000,1.0000
tr_img_06478,7,6,0.9578,6,6,4,0.6667,0.6667,0.6667
tr_img_06479,2,1,0.7552,6,1,0,0.0000,0.0000,0.0000
tr_img_06480,15,7,0.8222,20,7,2,0.2857,0.1000,0.1481
tr_img_06481,5,2,0.9955,2,2,0,0.0000,0.0000,0.0000
tr_img_06482,17,6,0.9473,7,6,5,0.8333,0.7143,0.7692
tr_img_06483,7,2,0.7683,8,2,1,0.5000,0.1250,0.2000
tr_img_06484,2,1,0.7337,5,1,0,0.0000,0.0000,0.0000
tr_img_06485,3,3,0.9336,3,3,2,0.6667,0.6667,0.6667
tr_img_06486,2,1,0.9319,1,1,0,0.0000,0.0000,0.0000
tr_img_06487,10,2,0.9342,5,2,1,0.5000,0.2000,0.2857
tr_img_06488,21,17,0.9472,26,17,5,0.2941,0.1923,0.2326
tr_img_06489,2,1,0.9676,3,1,1,1.0000,0.3333,0.5000
tr_img_06490,12,3,0.9992,4,3,3,1.0000,0.7500,0.8571
tr_img_06491,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06492,2,1,0.7740,3,1,0,0.0000,0.0000,0.0000
tr_img_06493,17,3,0.9318,3,3,2,0.6667,0.6667,0.6667
tr_img_06494,4,2,0.9713,3,2,0,0.0000,0.0000,0.0000
tr_img_06495,1,0,0.0000,29,0,0,0.0000,0.0000,0.0000
tr_img_06496,1,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06497,1,1,0.7414,2,1,0,0.0000,0.0000,0.0000
tr_img_06498,8,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06499,14,5,0.8966,31,5,0,0.0000,0.0000,0.0000
tr_img_06500,5,1,0.8381,4,1,1,1.0000,0.2500,0.4000
tr_img_06501,2,1,0.9998,2,1,1,1.0000,0.5000,0.6667
tr_img_06502,2,1,0.9997,1,1,1,1.0000,1.0000,1.0000
tr_img_06503,20,13,0.9726,12,13,8,0.6154,0.6667,0.6400
tr_img_06504,50,11,0.9890,11,11,8,0.7273,0.7273,0.7273
tr_img_06505,4,3,0.9262,3,3,2,0.6667,0.6667,0.6667
tr_img_06506,12,7,0.9327,7,7,2,0.2857,0.2857,0.2857
tr_img_06507,2,2,0.9283,6,2,0,0.0000,0.0000,0.0000
tr_img_06508,3,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06509,94,34,0.9234,31,34,11,0.3235,0.3548,0.3385
tr_img_06510,3,2,0.8418,3,2,0,0.0000,0.0000,0.0000
tr_img_06511,7,5,0.9189,5,5,0,0.0000,0.0000,0.0000
tr_img_06512,2,1,0.9980,1,1,1,1.0000,1.0000,1.0000
tr_img_06513,39,12,0.9323,43,12,2,0.1667,0.0465,0.0727
tr_img_06514,6,1,0.9988,2,1,0,0.0000,0.0000,0.0000
tr_img_06515,12,3,0.8573,13,3,1,0.3333,0.0769,0.1250
tr_img_06516,6,1,1.0000,2,1,1,1.0000,0.5000,0.6667
tr_img_06517,16,11,0.9816,8,11,4,0.3636,0.5000,0.4211
tr_img_06518,2,1,0.9982,1,1,0,0.0000,0.0000,0.0000
tr_img_06519,3,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06520,3,3,0.8706,3,3,0,0.0000,0.0000,0.0000
tr_img_06521,4,3,0.9990,3,3,2,0.6667,0.6667,0.6667
tr_img_06522,5,4,0.9319,4,4,1,0.2500,0.2500,0.2500
tr_img_06523,13,10,0.9681,13,10,3,0.3000,0.2308,0.2609
tr_img_06524,6,2,0.9492,2,2,2,1.0000,1.0000,1.0000
tr_img_06525,4,2,0.9385,3,2,1,0.5000,0.3333,0.4000
tr_img_06526,9,2,0.9890,2,2,1,0.5000,0.5000,0.5000
tr_img_06527,2,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06528,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06529,10,3,0.9515,15,3,1,0.3333,0.0667,0.1111
tr_img_06530,23,15,0.9489,26,15,9,0.6000,0.3462,0.4390
tr_img_06531,2,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06532,2,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06533,3,3,0.9888,6,3,0,0.0000,0.0000,0.0000
tr_img_06534,7,1,0.9985,1,1,1,1.0000,1.0000,1.0000
tr_img_06535,9,4,0.8083,3,4,1,0.2500,0.3333,0.2857
tr_img_06536,12,7,0.9799,11,7,3,0.4286,0.2727,0.3333
tr_img_06537,7,4,0.9175,5,4,2,0.5000,0.4000,0.4444
tr_img_06538,33,18,0.9655,22,18,13,0.7222,0.5909,0.6500
tr_img_06539,9,3,0.9974,6,3,3,1.0000,0.5000,0.6667
tr_img_06540,9,4,0.9406,4,4,1,0.2500,0.2500,0.2500
tr_img_06541,2,1,0.9260,2,1,0,0.0000,0.0000,0.0000
tr_img_06542,6,4,0.9329,11,4,3,0.7500,0.2727,0.4000
tr_img_06543,11,3,0.8820,3,3,1,0.3333,0.3333,0.3333
tr_img_06544,3,2,0.8867,4,2,1,0.5000,0.2500,0.3333
tr_img_06545,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06546,17,5,0.9636,6,5,2,0.4000,0.3333,0.3636
tr_img_06547,4,2,0.8890,2,2,1,0.5000,0.5000,0.5000
tr_img_06548,1,1,0.7701,5,1,0,0.0000,0.0000,0.0000
tr_img_06549,9,7,0.9839,11,7,5,0.7143,0.4545,0.5556
tr_img_06550,2,1,0.9154,1,1,0,0.0000,0.0000,0.0000
tr_img_06551,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06552,4,4,0.9591,4,4,2,0.5000,0.5000,0.5000
tr_img_06553,4,1,0.8833,12,1,1,1.0000,0.0833,0.1538
tr_img_06554,34,6,0.9752,19,6,4,0.6667,0.2105,0.3200
tr_img_06555,1,0,0.0000,4,0,0,0.0000,0.0000,0.0000
tr_img_06556,35,14,0.9450,10,14,3,0.2143,0.3000,0.2500
tr_img_06557,10,1,0.7536,3,1,0,0.0000,0.0000,0.0000
tr_img_06558,7,1,0.8061,12,1,0,0.0000,0.0000,0.0000
tr_img_06559,3,2,0.9524,4,2,0,0.0000,0.0000,0.0000
tr_img_06560,2,0,0.0000,31,0,0,0.0000,0.0000,0.0000
tr_img_06561,18,2,0.9644,29,2,0,0.0000,0.0000,0.0000
tr_img_06562,2,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06563,13,4,0.9754,5,4,4,1.0000,0.8000,0.8889
tr_img_06564,4,4,0.9067,9,4,1,0.2500,0.1111,0.1538
tr_img_06565,4,0,0.0000,9,0,0,0.0000,0.0000,0.0000
tr_img_06566,8,4,0.9797,5,4,1,0.2500,0.2000,0.2222
tr_img_06567,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06568,17,6,0.8560,18,6,0,0.0000,0.0000,0.0000
tr_img_06569,1,1,0.9998,4,1,1,1.0000,0.2500,0.4000
tr_img_06570,3,1,0.9340,1,1,0,0.0000,0.0000,0.0000
tr_img_06571,0,0,0.0000,0,0,0,0.0000,0.0000,0.0000
tr_img_06572,17,5,0.9705,8,5,4,0.8000,0.5000,0.6154
tr_img_06573,11,7,0.9821,9,7,6,0.8571,0.6667,0.7500
tr_img_06574,11,3,0.9712,3,3,1,0.3333,0.3333,0.3333
tr_img_06575,3,2,0.9958,2,2,2,1.0000,1.0000,1.0000
tr_img_06576,1,1,0.9136,1,1,0,0.0000,0.0000,0.0000
tr_img_06577,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06578,4,2,0.8961,3,2,0,0.0000,0.0000,0.0000
tr_img_06579,9,6,0.8986,5,6,2,0.3333,0.4000,0.3636
tr_img_06580,11,2,0.8929,3,2,1,0.5000,0.3333,0.4000
tr_img_06581,4,3,0.9940,3,3,3,1.0000,1.0000,1.0000
tr_img_06582,2,1,0.9355,1,1,0,0.0000,0.0000,0.0000
tr_img_06583,11,4,0.9826,4,4,4,1.0000,1.0000,1.0000
tr_img_06584,4,3,0.9959,3,3,3,1.0000,1.0000,1.0000
tr_img_06585,15,0,0.0000,15,0,0,0.0000,0.0000,0.0000
tr_img_06586,4,3,0.9995,3,3,3,1.0000,1.0000,1.0000
tr_img_06587,9,0,0.0000,19,0,0,0.0000,0.0000,0.0000
tr_img_06588,6,2,0.9494,2,2,1,0.5000,0.5000,0.5000
tr_img_06589,4,1,0.7545,4,1,0,0.0000,0.0000,0.0000
tr_img_06590,7,1,0.9067,5,1,1,1.0000,0.2000,0.3333
tr_img_06591,8,5,0.9811,4,5,2,0.4000,0.5000,0.4444
tr_img_06592,10,5,0.9598,6,5,4,0.8000,0.6667,0.7273
tr_img_06593,7,4,0.9080,4,4,2,0.5000,0.5000,0.5000
tr_img_06594,12,5,0.8529,13,5,3,0.6000,0.2308,0.3333
tr_img_06595,3,2,0.8954,2,2,1,0.5000,0.5000,0.5000
tr_img_06596,6,1,0.9989,2,1,1,1.0000,0.5000,0.6667
tr_img_06597,7,1,0.9997,5,1,1,1.0000,0.2000,0.3333
tr_img_06598,4,2,0.8765,2,2,1,0.5000,0.5000,0.5000
tr_img_06599,4,3,0.9913,3,3,2,0.6667,0.6667,0.6667
tr_img_06600,7,5,0.9739,9,5,0,0.0000,0.0000,0.0000
tr_img_06601,1,0,0.0000,0,0,0,0.0000,0.0000,0.0000
tr_img_06602,6,3,0.9284,3,3,1,0.3333,0.3333,0.3333
tr_img_06603,3,1,0.8189,1,1,1,1.0000,1.0000,1.0000
tr_img_06604,11,5,0.9799,4,5,3,0.6000,0.7500,0.6667
tr_img_06605,2,1,0.8249,3,1,1,1.0000,0.3333,0.5000
tr_img_06606,4,2,0.9387,3,2,2,1.0000,0.6667,0.8000
tr_img_06607,1,1,0.7543,1,1,0,0.0000,0.0000,0.0000
tr_img_06608,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06609,2,1,0.8352,1,1,0,0.0000,0.0000,0.0000
tr_img_06610,20,2,0.9862,5,2,2,1.0000,0.4000,0.5714
tr_img_06611,4,3,0.9992,3,3,3,1.0000,1.0000,1.0000
tr_img_06612,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06613,14,1,0.8376,6,1,0,0.0000,0.0000,0.0000
tr_img_06614,3,2,0.9706,2,2,2,1.0000,1.0000,1.0000
tr_img_06615,4,3,0.9996,3,3,3,1.0000,1.0000,1.0000
tr_img_06616,3,1,0.9761,2,1,0,0.0000,0.0000,0.0000
tr_img_06617,2,2,0.8990,2,2,0,0.0000,0.0000,0.0000
tr_img_06618,44,34,0.9714,32,34,9,0.2647,0.2812,0.2727
tr_img_06619,4,3,0.9797,6,3,2,0.6667,0.3333,0.4444
tr_img_06620,5,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06621,45,40,0.9684,42,40,15,0.3750,0.3571,0.3659
tr_img_06622,1,1,0.9961,1,1,1,1.0000,1.0000,1.0000
tr_img_06623,1,1,0.7769,1,1,0,0.0000,0.0000,0.0000
tr_img_06624,5,4,0.9416,6,4,2,0.5000,0.3333,0.4000
tr_img_06625,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06626,5,2,0.7797,3,2,1,0.5000,0.3333,0.4000
tr_img_06627,6,2,0.9272,2,2,1,0.5000,0.5000,0.5000
tr_img_06628,6,3,0.9994,4,3,2,0.6667,0.5000,0.5714
tr_img_06629,6,2,0.9959,2,2,2,1.0000,1.0000,1.0000
tr_img_06630,3,3,0.9289,3,3,0,0.0000,0.0000,0.0000
tr_img_06631,1,1,0.9960,1,1,1,1.0000,1.0000,1.0000
tr_img_06632,1,1,0.7312,1,1,0,0.0000,0.0000,0.0000
tr_img_06633,6,2,0.8977,6,2,1,0.5000,0.1667,0.2500
tr_img_06634,16,4,0.9262,8,4,1,0.2500,0.1250,0.1667
tr_img_06635,0,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06636,8,2,0.9914,3,2,2,1.0000,0.6667,0.8000
tr_img_06637,7,1,0.9901,6,1,0,0.0000,0.0000,0.0000
tr_img_06638,3,1,0.9876,6,1,0,0.0000,0.0000,0.0000
tr_img_06639,7,3,0.9765,8,3,1,0.3333,0.1250,0.1818
tr_img_06640,1,0,0.0000,5,0,0,0.0000,0.0000,0.0000
tr_img_06641,3,0,0.0000,4,0,0,0.0000,0.0000,0.0000
tr_img_06642,7,3,0.9859,9,3,1,0.3333,0.1111,0.1667
tr_img_06643,1,1,0.7308,1,1,0,0.0000,0.0000,0.0000
tr_img_06644,7,1,0.9372,5,1,0,0.0000,0.0000,0.0000
tr_img_06645,4,1,0.9886,1,1,0,0.0000,0.0000,0.0000
tr_img_06646,2,1,0.9354,1,1,0,0.0000,0.0000,0.0000
tr_img_06647,2,1,0.8310,1,1,0,0.0000,0.0000,0.0000
tr_img_06648,16,10,0.9673,14,10,7,0.7000,0.5000,0.5833
tr_img_06649,4,3,0.9899,3,3,3,1.0000,1.0000,1.0000
tr_img_06650,3,1,0.9642,6,1,0,0.0000,0.0000,0.0000
tr_img_06651,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06652,0,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06653,4,3,0.9081,2,3,1,0.3333,0.5000,0.4000
tr_img_06654,3,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06655,2,1,0.9779,1,1,1,1.0000,1.0000,1.0000
tr_img_06656,4,3,0.9775,3,3,3,1.0000,1.0000,1.0000
tr_img_06657,3,1,0.8392,1,1,0,0.0000,0.0000,0.0000
tr_img_06658,2,1,0.9346,1,1,0,0.0000,0.0000,0.0000
tr_img_06659,5,2,0.8023,2,2,0,0.0000,0.0000,0.0000
tr_img_06660,2,1,0.9166,1,1,0,0.0000,0.0000,0.0000
tr_img_06661,4,3,0.9690,3,3,3,1.0000,1.0000,1.0000
tr_img_06662,2,1,0.9130,2,1,0,0.0000,0.0000,0.0000
tr_img_06663,6,2,0.7922,2,2,1,0.5000,0.5000,0.5000
tr_img_06664,10,4,0.9897,8,4,1,0.2500,0.1250,0.1667
tr_img_06665,2,1,0.8290,1,1,0,0.0000,0.0000,0.0000
tr_img_06666,8,2,0.8555,2,2,1,0.5000,0.5000,0.5000
tr_img_06667,2,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06668,15,5,0.9813,3,5,0,0.0000,0.0000,0.0000
tr_img_06669,4,3,0.9961,3,3,3,1.0000,1.0000,1.0000
tr_img_06670,11,2,0.9088,31,2,0,0.0000,0.0000,0.0000
tr_img_06671,6,4,0.9542,17,4,0,0.0000,0.0000,0.0000
tr_img_06672,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06673,0,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06674,3,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06675,9,3,0.9967,3,3,1,0.3333,0.3333,0.3333
tr_img_06676,2,1,0.8886,12,1,0,0.0000,0.0000,0.0000
tr_img_06677,2,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06678,6,1,0.9968,8,1,1,1.0000,0.1250,0.2222
tr_img_06679,4,1,0.9792,1,1,0,0.0000,0.0000,0.0000
tr_img_06680,5,5,0.9797,7,5,2,0.4000,0.2857,0.3333
tr_img_06681,1,1,1.0000,1,1,1,1.0000,1.0000,1.0000
tr_img_06682,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06683,26,7,0.9908,17,7,5,0.7143,0.2941,0.4167
tr_img_06684,1,0,0.0000,2,0,0,0.0000,0.0000,0.0000
tr_img_06685,4,3,0.9903,3,3,3,1.0000,1.0000,1.0000
tr_img_06686,4,1,0.7783,2,1,0,0.0000,0.0000,0.0000
tr_img_06687,6,4,0.9437,5,4,4,1.0000,0.8000,0.8889
tr_img_06688,2,1,0.9902,7,1,1,1.0000,0.1429,0.2500
tr_img_06689,1,0,0.0000,5,0,0,0.0000,0.0000,0.0000
tr_img_06690,3,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06691,1,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06692,5,2,0.9954,6,2,0,0.0000,0.0000,0.0000
tr_img_06693,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06694,3,1,0.9998,3,1,1,1.0000,0.3333,0.5000
tr_img_06695,3,1,0.9845,2,1,0,0.0000,0.0000,0.0000
tr_img_06696,13,5,0.9167,9,5,1,0.2000,0.1111,0.1429
tr_img_06697,3,1,0.9270,2,1,0,0.0000,0.0000,0.0000
tr_img_06698,4,2,0.8743,3,2,2,1.0000,0.6667,0.8000
tr_img_06699,3,1,0.9999,6,1,0,0.0000,0.0000,0.0000
tr_img_06700,8,1,0.9165,5,1,0,0.0000,0.0000,0.0000
tr_img_06701,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06702,59,30,0.9633,35,30,27,0.9000,0.7714,0.8308
tr_img_06703,36,9,0.9973,9,9,8,0.8889,0.8889,0.8889
tr_img_06704,4,3,0.9702,3,3,3,1.0000,1.0000,1.0000
tr_img_06705,3,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06706,5,3,0.8814,14,3,3,1.0000,0.2143,0.3529
tr_img_06707,5,2,0.9086,10,2,1,0.5000,0.1000,0.1667
tr_img_06708,5,1,1.0000,1,1,1,1.0000,1.0000,1.0000
tr_img_06709,7,6,0.9866,6,6,4,0.6667,0.6667,0.6667
tr_img_06710,10,10,0.9420,28,10,7,0.7000,0.2500,0.3684
tr_img_06711,1,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06712,5,1,0.9446,8,1,0,0.0000,0.0000,0.0000
tr_img_06713,4,3,0.9985,3,3,2,0.6667,0.6667,0.6667
tr_img_06714,16,6,0.9136,3,6,2,0.3333,0.6667,0.4444
tr_img_06715,2,1,0.9035,1,1,0,0.0000,0.0000,0.0000
tr_img_06716,8,7,0.9351,9,7,4,0.5714,0.4444,0.5000
tr_img_06717,4,3,0.9176,3,3,2,0.6667,0.6667,0.6667
tr_img_06718,1,0,0.0000,3,0,0,0.0000,0.0000,0.0000
tr_img_06719,4,2,0.9085,3,2,2,1.0000,0.6667,0.8000
tr_img_06720,4,1,0.8254,1,1,1,1.0000,1.0000,1.0000
tr_img_06721,1,1,0.7445,1,1,0,0.0000,0.0000,0.0000
tr_img_06722,3,2,0.8035,2,2,1,0.5000,0.5000,0.5000
tr_img_06723,4,2,0.8513,2,2,1,0.5000,0.5000,0.5000
tr_img_06724,4,3,0.9993,3,3,3,1.0000,1.0000,1.0000
tr_img_06725,15,5,0.9987,5,5,5,1.0000,1.0000,1.0000
tr_img_06726,0,0,0.0000,1,0,0,0.0000,0.0000,0.0000
tr_img_06727,18,14,0.9259,29,14,8,0.5714,0.2759,0.3721
tr_img_06728,10,3,0.9026,4,3,1,0.3333,0.2500,0.2857
tr_img_06729,4,1,0.9658,1,1,0,0.0000,0.0000,0.0000
tr_img_06730,16,7,0.9051,20,7,1,0.1429,0.0500,0.0741
tr_img_06731,2,1,0.9360,1,1,0,0.0000,0.0000,0.0000
