Image,Total_Boxes,Avg_Conf,Japanese_Texts
tr_img_06206,11,0.9308,"便利 (0.916) | 安全機構 (0.997) | ドアロック (0.978) | ム今を省いて (0.897) | 運転中はロックされて開きません。 (0.971) | チャイルドロック (0.999) | 自動で節電節水 (0.956) | 役定すると運転終了後も (0.980) | ドアが開きません (0.999) | (イメージ図) (0.956)"
tr_img_06207,5,0.6300,"まにしでききしす (0.621) | 十条 (0.779) | 条道楽復院 (0.663) | 新険 (0.580)"
tr_img_06208,3,0.9632,"ハンズで楽しむクリスマス (0.999)"
tr_img_06209,55,0.9087,"南口 (0.991) | 南出口 (0.828) | 善字 (0.809) | 北年金事務所 (1.000) | 帝京大学医学部附属病院 (0.971) | のfice (0.789) | 北区福祉事務所 (0.978) | 帝京大学高等学校・中学校 (0.959) | 北寺別支矛学校 (0.821) | 東京家政大学･短期大学部 (0.955) | 高等学校・中学校 (0.927) | 北都税事務所 (1.000) | 陸上自衛隊十条駐屯地 (0.921) | 東京成徳大学短期大学 (1.000) | 北区立中央図書館 (0.998)"
tr_img_06210,5,0.7849,"木高4丁目 (0.511)"
tr_img_06211,25,0.8622,"精算機が一部変更となリました (0.861) | の (0.885) | íカードにて乗り越し不足額を (0.939) | チャージされた場合は精算歩は出ません (0.963) | 業望のボタンを押しでくさい (0.718) | のリこし金額 (0.842) | 000円 (0.858) | こちらを選択すると (0.987) | ICカ一ド残額 (0.820) | 00円 (0.751) | あと (1.000) | 00円不足です (0.979) | íカードに不足額がチャーツされます (0.911) | チャージ (0.866) | (a00円 (0.610) | 2000円 (0.903) | 3000円 (0.856) | 10000円 (0.965) | こ不明な点がありましたら (0.946) | (不足横 (0.740) | 駅係員までお問し (0.941) | い合わせください (0.978) | 精算の場合は不足額チャージボタンを却してください (0.929)"
tr_img_06212,3,0.9254,"水軍町7 (0.868)"
tr_img_06213,18,0.8625,"クホ茶 (0.990) | 支持率 (0.836) | 体脂肪を減らすのを助ける (0.923) | 特茶 (0.995) | トクッ( (0.640) | 氷首社調念(調季委説先 (0.740) | 、あなたが最も支持したい銘柄をお選びください (0.971) | 質間項目: (0.907) | 食生活は、主食、主菜、副菜を基本 (0.894) | 特寺茶 (0.698) | サントリー (0.994) | 尹右律 (0.509) | 税込 (0.994)"
tr_img_06214,3,0.7165,"ラテン居酒に (0.854) | こo! (0.570)"
tr_img_06215,13,0.9263,"口田 (0.597) | 三xit (0.959) | 南1条西4丁目 (0.909) | ヨ之出ビル (0.986)"
tr_img_06216,2,0.9719,"三田駅 (0.999)"
tr_img_06217,1,0.9062,"(防火木 (0.906)"
tr_img_06218,4,0.9717,"南14西9 (0.966)"
tr_img_06219,0,0.0000,""
tr_img_06220,2,0.9589,"南14条西9丁目 (0.932)"
tr_img_06221,2,0.9388,"自転車 (0.878) | 歩行者 (1.000)"
tr_img_06222,1,0.6445,""
tr_img_06223,0,0.0000,""
tr_img_06224,0,0.0000,""
tr_img_06225,3,0.6777,"三市二店 (0.539) | マダロ (0.587) | あリます (0.907)"
tr_img_06226,2,0.9601,"南1３条西9丁目 (0.924)"
tr_img_06227,9,0.9035,"邦楽 (0.999) | しそ (0.999) | いか (1.000) | ワラレコードホャ品ピラシ (0.622)"
tr_img_06228,17,0.8757,"千歳烏山 (0.893) | 仙川 (1.000) | ちとせからすやま (1.000) | 芦花公園 (1.000) | 仙川 (1.000) | 千岑弓山 (0.892) | 入星知引人0印I (0.632) | 芦萩公園 (0.824) | がわ (0.801)"
tr_img_06229,0,0.0000,""
tr_img_06230,4,0.7381,"トかい (0.505) | おさし (0.709) | アイス (0.997)"
tr_img_06231,15,0.9199,"井川 (1.000) | 浄斉BP (0.708) | 藤枝 (1.000) | 東静岡駅 (0.999) | 消水駅 (0.833) | ター (0.888)"
tr_img_06232,7,0.8693,"イン会 (0.993) | ご来 (0.790) | ムカー (0.656) | 東李苑 (0.935)"
tr_img_06233,4,0.6900,"平成22年度 (0.920) | 然費基準+5％達成車 (0.792) | 氏排非ミトナス重 (0.507) | 国土二通大臣認定車 (0.542)"
tr_img_06234,9,0.9526,"お手洗 (1.000) | レストラン街(アステイ東館 (0.998) | 川 (0.891) | ショッピング街(パルシェ食彩館) (0.966)"
tr_img_06235,6,0.9621,"禁煙 (1.000) | 二の場所及び (0.988) | ごルの前の道路上 (0.936) | で喫煙しないで (0.998) | 下さい (0.982) | さつきビレ管理人 (0.869)"
tr_img_06236,4,0.8869,"日本橋 (0.946) | 人形町 (0.995) | 三丁員 (0.864)"
tr_img_06237,20,0.9302,"時計台 (0.999) | 大通公園 (0.987) | 札幌市役所 (1.000) | 。すすきの方面 (0.970) | 南 (1.000) | 口 (0.995) | は番 (0.663) | 善子 (0.621) | 南口 (0.970)"
tr_img_06238,6,0.8205,"酒場 (0.932) | 築土せ (0.728)"
tr_img_06239,4,0.9940,"中原区 (0.999) | 木月 (0.997) | 4丁目 (0.985)"
tr_img_06240,3,0.9998,"港橋 (1.000)"
tr_img_06241,6,0.8071,"炭の好か (0.534) | 系 (0.725) | 営業時間 (0.997) | 17:00〜翌1:30 (0.935)"
tr_img_06242,2,0.9808,"四ツ目通り (0.986)"
tr_img_06243,1,0.8685,"札幌市中英区北1条西6丁 (0.868)"
tr_img_06244,3,0.8565,"ニスポ・スイムクラブ (0.878) | 元住吉 (0.986)"
tr_img_06245,10,0.9887,"ホテルアソシア静岡 (0.974) | 静岡市総合観光案内所 (0.963)"
tr_img_06246,4,0.9103,"株式 (1.000) | 東京機械製作所 (0.996) | 会社 (1.000)"
tr_img_06247,2,0.9918,"南14条西8丁目 (0.987)"
tr_img_06248,10,0.9206,"タクシーのリは (0.902) | 出租牢站 (0.888) | 副人舎石 (0.755) | 駅前交番 (1.000) | 站前派出所 (0.993)"
tr_img_06249,4,0.8800,"中古盛 (0.914) | 専門店 (1.000) | 高ー買しま? (0.636)"
tr_img_06250,3,0.9416,""
tr_img_06251,13,0.9803,"都営新宿線 (0.993) | 都営新宿線 (0.957) | 大江戸線 (1.000) | 新宿駅 (1.000) | 大江戸線 (0.995) | 新宿站 (0.942)"
tr_img_06252,13,0.9788,"静岡市街 (1.000) | 草薙 (0.988) | 三保 (1.000) | 日本平 (0.998) | 右折 (0.999) | 禁止 (0.951) | この先300m (0.915)"
tr_img_06253,4,0.9961,"中原区 (0.999) | 木月 (0.997) | 2丁目 (0.998)"
tr_img_06254,4,0.8250,"ッキコ (0.727) | チエ7 (0.755)"
tr_img_06255,7,0.9381,"東名 (0.996) | 溝口 (0.994) | 6K円 (0.757)"
tr_img_06256,6,0.8933,"芝 (0.552) | 芝五丁目 (0.835)"
tr_img_06257,1,0.6763,"港七山版制 (0.676)"
tr_img_06258,2,0.8977,"160席 (0.850) | すすきの店 (0.946)"
tr_img_06259,0,0.0000,""
tr_img_06260,37,0.9143,"人とクルマと街と (0.994) | 月金曜 (0.979) | 土日祝 (0.965) | 最大料金 (0.945) | 当日24時まで (1.000) | 5条却7日泉 (0.573) | ロ (0.612) | 基本料金 (0.858) | 60200円 (1.000) | 60月300円 (0.884) | 60分 (0.939) | 100円 (0.998) | 60分 (0.855) | 100円 (0.997) | タイムズ南 (1.000) | 駐車券の取扱いに (0.982) | 2西6 (0.996) | 公 (0.514) | タイムズの最大料金は (0.996) | ご注意ください (0.995) | 札幌市中央区南12条西6丁目1 (0.932) | 繰り返し適用されます (1.000) | 出庫かできなくなります (0.982) | 故障の際は (1.000) | タイムズサ (0.999) | ビス(株) (0.990)"
tr_img_06261,52,0.8428,"千歳鳥山 (0.918) | 当駅構内施設の階層図 (0.999) | 案内所 (0.999) | 女子トイレ (0.990) | きつふつりば (0.817) | トイレ (0.982) | コインロッカ (0.982) | だれでも (0.999) | う (0.538) | 待合室 (0.948) | 男子トイレ (0.916) | 自動体式除細動器 (0.977) | A目D (0.826) | 現在地から地上までの (0.997) | バリアフリー主要ルート (0.926) | 北ロコンコース噌 (0.853) | 酒 (0.615) | 新宿方面 (0.969) | 公町 (0.505) | 改階へ (0.589) | ホ一ム贈 (0.745) | ス階 (0.732) | 高尾山口橋本方面 (0.893) | 改料階へ (0.543) | 北国 (0.982) | 西国コンヨース階 (0.827) | ここは新宿方面ホ一ムです。 (0.979)"
tr_img_06262,1,0.8510,"中央区 (0.851)"
tr_img_06263,1,0.6591,"生生9 (0.659)"
tr_img_06264,9,0.8379,"営業時間 (0.998) | は (0.767) | 朝: (0.865) | まで (0.860) | や (0.575) | 安全拾得器 (0.914)"
tr_img_06265,1,0.9839,"東日本橋二丁目 (0.984)"
tr_img_06266,2,0.8968,"南14条西8丁目 (0.940)"
tr_img_06267,0,0.0000,""
tr_img_06268,2,0.8013,"Ｏロオミ (0.629)"
tr_img_06269,4,0.9542,"日本橋 (0.995) | 人形町 (0.954) | 一丁目 (0.879)"
tr_img_06270,19,0.9703,"案内所 (1.000) | 団体バス・路線バス (0.965) | タクシー (0.990) | レンタカー (0.993) | 般車 (0.973) | 乗隆場 (0.996)"
tr_img_06271,4,0.9407,"中風区 (0.779) | 木月 (0.998) | 3丁目 (0.987)"
tr_img_06272,4,0.8477,"マハ音楽教室 (0.863)"
tr_img_06273,2,0.8345,"ホホ北野4-6-13 (0.704) | 三村厚生 (0.965)"
tr_img_06274,2,0.7663,"小高公久 (0.950) | 護ホ野４丁８ー4 (0.583)"
tr_img_06275,9,0.8339,"こは (0.759) | 中の島 (0.999) | 雨水ツス位置表示板 (0.527) | 設置個所 (0.532) | 27・7 (0.970) | 北電興業(株扱い (0.968)"
tr_img_06276,2,0.7295,"規約加会 (0.502) | 泰 (0.957)"
tr_img_06277,12,0.9522,"末吉橋 (0.997) | 川崎駅 (1.000) | 横浜 (0.999) | 五反田 (0.998) | 綱島 (0.999) | 丸子橋 (1.000)"
tr_img_06278,12,0.8217,"ロック板 (0.963) | 下がつていますか？ (0.931) | 信観確認! (0.588) | 公譬告 (0.845) | 公動かしま (0.844) | なけます (0.891) | イロック板が (0.636) | そぁる条急連終先 (0.811) | います (0.963) | 足はきみ (0.883) | 注意 (0.977)"
tr_img_06279,4,0.9801,"機械器具設置業 (0.999) | 登録電気事業者 (0.998) | 小丸動力建設株 (0.928) | 札幌営業所 (0.995)"
tr_img_06280,2,0.8889,"角平 (0.856)"
tr_img_06281,3,0.9733,"緑郎 (0.999) | 山口 (0.983)"
tr_img_06282,2,0.9335,"西新宿五丁目 (0.871)"
tr_img_06283,3,0.8183,"ありがとうございます (0.982)"
tr_img_06284,3,0.9891,"ヨットハーバー (0.967)"
tr_img_06285,9,0.8602,"目本橋人形町一丁目 (0.821)"
tr_img_06286,4,0.9348,"侍合室 (0.887) | 候年室 (0.853)"
tr_img_06287,2,0.5649,"巻由 (0.557) | 三八 (0.572)"
tr_img_06288,4,0.9346,"都宮三田線 (0.925) | いちばん先のくだり階段 (0.999)"
tr_img_06289,4,0.7714,"レディースランプ (0.744) | ス・プ・デグトきン (0.583)"
tr_img_06290,11,0.9203,"株式 (0.955) | 会社 (0.998) | 板売 (0.645) | 修理 (1.000) | 車検 (0.999) | 中部運輸局指! (0.903) | の (0.990) | 株式会社 (0.942)"
tr_img_06291,3,0.6690,"堂業寺聞 (0.799)"
tr_img_06292,1,0.5427,"KパビA (0.543)"
tr_img_06293,19,0.8771,"区役所第一分子舎 (0.803) | 四季の路 (0.995) | 新宿区役所 (0.999) | 歌乗倭田公園 (0.628) | 歌乗伎田丁一丁門 (0.651)"
tr_img_06294,8,0.8800,"方セ設で使え (0.857) | お得なチhット (0.648) | 名様 (1.000) | 名日 (0.837) | 良定です (0.806)"
tr_img_06295,5,0.8206,""
tr_img_06296,0,0.0000,""
tr_img_06297,11,0.8721,"二リポンの窓をよくしたし (0.880) | ソョツプ (0.531) | 渉江サッ (0.888) | シ株式会社 (1.000) | サッシ部 (0.995) | 不動産部 (0.986)"
tr_img_06298,4,0.8954,"仏す使用電子マネーを (0.891) | 寒択してから (0.888) | 力一ド7携帯電話を (0.850) | かさして下さい (0.954)"
tr_img_06299,10,0.9252,"約 (0.999) | 詳度と栄養柔を子る (0.796) | 気圧 (0.945) | 真空チルド (0.885) | 酵素の働きを抑制する (0.930) | プラチナ (0.998) | スリープ保者 (0.828) | 触媒 (0.945)"
tr_img_06300,1,0.7662,"農応仲通り商店住 (0.766)"
tr_img_06301,24,0.8890,"流 (0.997) | 抜き (0.895) | クリーミブグ (0.726) | よる10時まで営業 (0.947) | 急がなくても! (1.000) | 田日80 (0.669) | 印日仕上 (0.798)"
tr_img_06302,2,0.8939,"中の島1条2丁目 (0.790)"
tr_img_06303,20,0.8437,"キッチンにつれしいり (0.841) | もチ (0.720) | ブマトマレッ (0.530) | のいつもシンクを清潔に (0.889) | 小さなゴミもしつかりキヤツチ! (0.969) | 穴あきメッシユの不織布 (0.974) | 抗副成分 (0.833) | 西台 (0.706) | キッチンにうれしい (0.991) | お取り替え時期 (0.999) | (開封後1ヶ月が目安) (0.967) | ワストマン (0.741) | 上人中ノ下有頃 (0.760) | 生樹三用消臭一 (0.859) | 式供品 (0.942) | およそ (0.909) | 30日月 (0.657)"
tr_img_06304,0,0.0000,""
tr_img_06305,0,0.0000,""
tr_img_06306,17,0.7168,"浜岡原発は最大のリスク (0.998) | 早期廃炉へ! (0.951) | 今の日本の平和と希栄を支えているの (0.889) | な割し的レ暖えていこうとているの (0.635) | 安を政植です柚誌な冬去改正は (0.682) | 好ません (0.637) | 安保法利は容法て (0.586) | 静岡をまもる (0.883) | 都海ト770巨六地及は速い未未の占で (0.681) | 明な母雑計配は亡て (0.510) | あ代のの現 (0.541) | あtなkまtる (0.590) | 社会の歪みが少子化の爪因です子れ (0.809) | の学督祭使化 (0.658) | あなたのパふをマべいタえていまます (0.729)"
tr_img_06307,22,0.9632,"練馬駅 (0.971) | 都営大江戸線 (0.977) | 都庁前 (1.000) | 六本木 (1.000) | 飯田橋方面 (0.936) | 光が丘 (1.000) | 方面 (1.000)"
tr_img_06308,30,0.9140,"公共施設 (1.000) | 文郎施設 (0.931) | 商業施設 (1.000) | 宿泊施設 (1.000) | 教育施設 (1.000) | 町田 (0.582) | 消防署 (1.000) | 郵便局 (1.000) | 銀行 (0.999) | ズポーツ (0.818) | レジャー (0.995) | 己 (0.651) | 寺院 (1.000) | 神社 (1.000) | 教会 (1.000)"
tr_img_06309,6,0.9712,"中央区 (1.000)"
tr_img_06310,1,0.9904,"5村上公民館 (0.990)"
tr_img_06311,2,0.9162,"軍の出入口につき (0.943) | 紅重しないで下さい (0.889)"
tr_img_06312,21,0.9291,"静岡県庁 (0.999) | 御幸町 (0.998) | 御幸町 (1.000) | 人天学引ヨ (0.502) | 静図具庁 (0.670) | 駿府城公園 (0.992) | 新静岡駅 (1.000) | 府城公園 (0.993) | 新静站 (0.999) | 金平丞号司・人入天.引ą (0.580)"
tr_img_06313,5,0.9018,"県庁 (1.000) | 所静岡駅 (0.853) | 市役所 (0.999)"
tr_img_06314,18,0.8821,"静岡音楽館AO! (0.991) | 静岡中央郵便局 (1.000) | 地下駐車場 (0.999) | エキパ (0.870) | Q斗AO! (0.728) | 静音AOI (0.920) | 子斗 (0.722) | 浄図中央邸局 (0.938) | 「エキパ」地下停年場 (0.946)"
tr_img_06315,0,0.0000,""
tr_img_06316,23,0.8935,"デュオ (1.000) | 冬の (0.996) | 期聞限定 (0.867) | シちそう (0.766) | 李節の (0.947) | シーフード味セレクション (0.975) | まぐろとかに味 (0.970) | かにとほたて味 (0.995) | 白身魚とえび味 (0.997) | かニとクリーミーチーズ味 (0.991) | 総合栄養食 (1.000) | 小分け (0.991) | (標準)×12袋 (0.860) | 粒のイラストは (0.972)"
tr_img_06317,2,0.9411,"南9条西3丁目 (0.994)"
tr_img_06318,3,0.8442,"今 (0.919) | の (1.000) | 暮 (0.614)"
tr_img_06319,7,0.7979,"久世祠琶店 (0.783) | 久世盂商店 (0.836) | の0 (0.846)"
tr_img_06320,45,0.7820,"こちらは南10西7 (0.989) | 緊急連絡先0120 (0.997) | です (0.999) | 連料金のお支払し (0.815) | 駐車料金を (0.884) | 主車位置番号を (0.910) | 押してください (0.994) | 駐車料金 (0.813) | 釣幾切れK (0.644) | 番号を確認後 (0.998) | カKaahir Cadunacestah! (0.732) | 精算ボクンを (0.915) | 奈収密究行中止 (0.582) | 公類響理金投入の前 (0.655) | 押してください (0.991) | ののの (0.675) | 購 (0.559) | は下の発行口から発行されます (0.972) | 盗難対策濱 (0.799) | 公設 (0.546) | 駐軍位 (0.803) | おつり領収書 (0.943) | タイムズの (0.859) | ポイントカード (0.964) | シイムンの系 (0.697) | 岡 (0.617) | 一取司 (0.687) | タイムズで (0.992) | 8釣5銀口領取雪 (0.644) | タイムズで (0.911) | カーシェア (0.824)"
tr_img_06321,1,0.7836,"1一8 (0.784)"
tr_img_06322,1,0.8921,"ママハ音楽教室 (0.892)"
tr_img_06323,2,0.7702,"緑ヶ行 (0.831)"
tr_img_06324,6,0.7223,"食ペロヴ (0.780) | 話題のお店 (0.857) | したアア (0.635) | のo (0.565)"
tr_img_06325,4,0.9500,"中原区 (1.000)"
tr_img_06326,28,0.8876,"無断離重禁正 (0.726) | 月極 (0.989) | 超低燃費蓄熱式 (0.810) | 超低燃費 (0.992) | 図間融 (0.827) | 槽 (0.858) | ロードヒーティンク (0.972) | スノーin9 (0.733) | 息動管黌冬春　設計・施工 (0.832) | 025üの荷重に耐える (0.977) | 08mタイプ・水温25C (0.849) | 050年の耐用年数 (0.929) | 灯油180で圧2代 (0.784) | 時許出判 特月,00-09859 (0.681) | 特許出願中1特願2002 (0.955) | 一223883 (0.987) | O次世代システム開発htp!wuJ-akCO.J] (0.698) | 冒貸マンション建築から、オーナー代行管理 (0.943) | 月極駐車場管理 (0.984) | 正 (0.923) | JハD日本ア一ク開発(株) (0.879)"
tr_img_06327,8,0.9679,"スクラッチ (1.000) | スクラッチ (0.926) | ポイント (0.999)"
tr_img_06328,2,0.9469,"北10条東10丁目 (0.896)"
tr_img_06329,4,0.9942,"中原区 (0.990) | 木月 (0.991) | 1丁目 (1.000)"
tr_img_06330,4,0.8544,"清水区 (0.888) | 本郷町 (0.877) | ちよう (0.663)"
tr_img_06331,4,0.9982,"中原区 (1.000) | 木月 (0.999) | 2丁目 (0.999)"
tr_img_06332,24,0.7958,"東京23区内のおでかけに! (0.910) | 都区内パス (0.885) | おトクに (0.999) | らとん (0.835) | 楽しめる! (0.998) | 遊べる! (0.986) | 1日750円 (0.967) | 黒面舟減 (0.530) | 紫羽 (0.716) | ブリーエリア (0.933) | 東京23区内のR線が (0.995) | まることし (0.676) | 日乗)降り目由。 (0.684) | 北千住 (0.686) | 代木 (0.609) | 郡川 (0.711) | 西直満公園 (0.689) | 面田1 (0.560) | 京京2a内出(上配2リーエリアの (0.648) | お求めは (0.814) | 指定席券売機 (0.996) | 150円 (0.783) | 370円 (0.983)"
tr_img_06333,2,0.6345,"Sニ (0.533) | セマハ規販売店 (0.736)"
tr_img_06334,16,0.9579,"七間町 (0.998) | 呉服町 (0.992) | 紺屋町 (1.000) | 葵区役所 (1.000) | 市役所 (1.000) | 英区役所 (0.988) | 市役所 (0.994)"
tr_img_06335,2,0.7959,"録登 (0.918) | ン (0.673)"
tr_img_06336,2,0.8388,"日青紡 (0.758)"
tr_img_06337,2,0.7770,"内寿 (0.578)"
tr_img_06338,4,0.9431,"中原区 (0.995) | 木月 (0.985) | 2丁目 (0.793)"
tr_img_06339,0,0.0000,""
tr_img_06340,1,0.6301,""
tr_img_06341,1,0.9121,"緊急時にご使用くださし (0.912)"
tr_img_06342,0,0.0000,""
tr_img_06343,3,0.8800,""
tr_img_06344,0,0.0000,""
tr_img_06345,3,0.9528,"辻丁目 (0.987)"
tr_img_06346,12,0.8719,"マイクロラアバー (0.889) | キッチンクロス (0.750) | サイズ：約28メ (0.961) | 先剤を使わす (0.921) | 頑固な汚れが (0.985) | スツキリ落ちる! (0.939) | おそうじ (0.964) | マジック (0.932)"
tr_img_06347,11,0.7646,"この (0.630) | 2oこいo? (0.506) | 登呂遺切 (0.696) | 6Kい (0.616) | 三本平動物園 (0.865)"
tr_img_06348,4,0.9869,"青水区役所 (0.998) | 南側100m (0.954) | 松原町 (1.000)"
tr_img_06349,21,0.9210,"清水簡易裁判所 (0.955) | 人口天 (0.928) | 利証企 (0.664) | 清水簡易裁判所 (0.931) | 清水税務署 (0.955) | 清水税矛局 (0.883) | 人口天 (0.977) | 川早企 (0.700) | は一とびあ清水 (0.952) | 静市清水社会福祉会館 (0.978) | [Heartpia清水] (0.930) | 人口天 (0.852)"
tr_img_06350,6,0.9054,"中原区 (0.984) | 木丁目 (0.635)"
tr_img_06351,5,0.7993,"歩て (0.729) | サービス (0.778)"
tr_img_06352,45,0.8936,"エスパレスドリームプラサ (0.893) | 0人晋人 (0.727) | 王弖平己入I (0.508) | 清水合同庁舎 (0.970) | 清水合同庁舎 (0.966) | 人口天掛曇乳人I (0.584) | 市役所清水庁舎・清水区役所 (0.990) | 市役所清水庁舎 (0.941) | 清水区役所 (0.996) | 人梨 (0.578) | 人口I天礼人 (0.705) | 人印天子冠 (0.644) | ＪＲ清水駅 (0.907) | マリナート (0.990) | JＲ清水站 (0.992) | 清水文化会箱 (0.913) | JR人II天Q (0.752) | 人口奏 (0.595) | 清水年金事務所 (0.928) | 清水年金事努所 (0.848) | 人可医 (0.628) | 四吾人早全 (0.598)"
tr_img_06353,12,0.9681,"ブ・ナ科 (0.997) | 白樫 (0.996) | シラカシ (0.966) | 材は白くて堅く道具 (0.988) | 樹皮は黒っぽいが (0.936) | ドングリの皿の模様は輪 (0.957) | の柄になる。 (0.999) | 状。 (0.986) | 暖地の山に生える常緑高木。 (0.973)"
tr_img_06354,4,0.8980,"おみやげの店 (0.980)"
tr_img_06355,5,0.8439,"有限 (0.799) | なるみ西 (0.794) | 会社 (0.997) | センター (0.985)"
tr_img_06356,13,0.8948,"馬町東京横浜鎌倉方直 (0.964) | 船武線(特急快速 (0.785) | 東 (0.652)"
tr_img_06357,2,0.8755,"「ポイント貯まワます (0.898)"
tr_img_06358,3,0.9083,"くろわつさん専門店 (0.880)"
tr_img_06359,1,0.6003,"くS元住書 (0.600)"
tr_img_06360,4,0.9979,"中原区 (0.998) | 木月 (0.998) | 1丁目 (0.997)"
tr_img_06361,15,0.9197,"県立美術館 (0.990) | 県立大学 (0.991) | 草薙駅 (0.867)"
tr_img_06362,4,0.9324,"田 (0.917) | 二丁目 (0.871)"
tr_img_06363,2,0.9971,"中の島1条2丁目 (0.996)"
tr_img_06364,2,0.6552,"人 (0.738) | イメメスン (0.573)"
tr_img_06365,4,0.9881,"日本橋 (0.999) | 人形町 (0.999) | 一丁目 (0.990)"
tr_img_06366,5,0.8616,"日232 (0.885) | モ八 (0.861) | 東急車輪 (0.715) | 平成20年 (0.847)"
tr_img_06367,1,0.9963,"元住吉 (0.996)"
tr_img_06368,1,0.7561,"山信東目本 (0.756)"
tr_img_06369,6,0.8097,"ーズ (0.638) | 東京都三鷹市北野4一2一26 (0.996) | 株) (0.796) | 管理 (0.854)"
tr_img_06370,4,0.9379,"豊平区 (0.999)"
tr_img_06371,2,0.9507,""
tr_img_06372,4,0.9596,"日本橋 (0.996) | 人形町 (0.996) | 二丁目 (0.846)"
tr_img_06373,0,0.0000,""
tr_img_06374,3,0.9077,"売っます (0.870) | 買します (0.931) | 探します言 (0.922)"
tr_img_06375,18,0.8954,"総武線 (0.988) | 普駅停軍 (0.753) | 新小岩 (0.997) | 市川 (1.000) | 船橋 (0.997) | 千葉方直 (0.901)"
tr_img_06376,6,0.8400,"すげでらまし (0.536) | 水道 (1.000) | 人OI宅日卜人! (0.670)"
tr_img_06377,5,0.8506,"中央区 (0.959) | 日本橋ふ作町 (0.568)"
tr_img_06378,0,0.0000,""
tr_img_06379,0,0.0000,""
tr_img_06380,2,0.9458,"産地直送! (0.893) | 名様 (0.999)"
tr_img_06381,5,0.7699,"沼津 (0.992) | 日本初の応れ館 (0.818) | 後し業 (0.645) | 登録商標 (0.848) | どめましいい! (0.547)"
tr_img_06382,4,0.7357,"ト (0.856) | Pe七 (0.578) | ペットの水飲み場としてご利用ください (0.942)"
tr_img_06383,2,0.8598,"館 (0.993) | 水車町6丁目 (0.727)"
tr_img_06384,0,0.0000,""
tr_img_06385,3,0.5257,"めくて (0.511) | うおメく (0.537)"
tr_img_06386,4,0.6996,"インド・チベット・ネパール料理店 (0.994) | カレ一は怒薬膳) (0.627) | ザ激旨 (0.621) | ヒマラト仙楽部 (0.556)"
tr_img_06387,5,0.9489,"入口 (0.999) | 食べ及題 (0.827) | 営業時間 (0.999) | 日祝16:00〜23:00) (0.923)"
tr_img_06388,2,0.7517,"上泌と (0.621)"
tr_img_06389,9,0.8894,"横浜 (0.998) | 川崎 (1.000) | 五反田 (0.996)"
tr_img_06390,2,0.8989,"平岸条２丁目 (0.924)"
tr_img_06391,17,0.9714,"出口 (0.997) | 琴似本通り (0.949) | JR琴似駅 (0.895) | 第２高雄ビル (0.989) | 札幌市西部市税事務所 (1.000)"
tr_img_06392,14,0.9019,"山 (1.000) | 区 (0.972) | 高田弖璃 (0.695) | 高田馬場 (0.994) | たかだのばば (0.999) | 目臣百 (0.645) | 新大久保 (1.000) | 池袋上野方画 (0.864)"
tr_img_06393,1,0.8331,"Δ高さ注意 (0.833)"
tr_img_06394,6,0.9635,"20台 (0.993) | 吉祥寺通り沿い (0.994) | 西松屋となり (0.994) | 緑ヶ丘 (0.997)"
tr_img_06395,6,0.8220,"豊平区 (0.990) | なわ (0.626) | 中の1条一丁三( (0.508)"
tr_img_06396,1,0.8317,"巻 (0.832)"
tr_img_06397,14,0.7849,"昇達産髪使用 (0.557) | 鶏ラやん焼き (0.712) | 伊達産鶏使用 (0.934) | 鵜MTメ焼さ (0.838) | 6ス!・スス (0.597) | 若鶏の至い (0.976) | メスキく店 (0.631) | の (0.967) | 011-5日2-月480 (0.760) | (金)17:00 (0.871) | 鳥の至い (0.723) | 2時間 (1.000)"
tr_img_06398,2,0.5518,"や田る区 (0.501)"
tr_img_06399,3,0.9102,"水天宮前 (0.861)"
tr_img_06400,12,0.9277,"忘れ物承り所 (0.979) | 鉄道警察(分遣所) (0.972) | ショッピング街 (0.954) | (パルシェ食彩館 (0.923) | ホ会え? (0.714) | ハマイナヒ2018 (0.705)"
tr_img_06401,1,0.7834,"中央 (0.783)"
tr_img_06402,9,0.6792,"免税都 (0.827) | 助 (0.958) | 園楽駿店 (0.605) | 女店 (0.547)"
tr_img_06403,1,0.9824,"中央パス (0.982)"
tr_img_06404,21,0.9311,"カバー(グローブ)品番 (0.927) | ロカバー(グローブ)のはずし方 (0.957) | へ警告 (0.815) | ロカパー(グローブの取付け方 (0.966) | 中央部を押し上げながら (0.996) | 落下してけがのおそれあり (0.992) | 押し上げながら (0.991) | 印を合わせ、 (0.989) | 左二まわす (0.894) | カバ一は確実二取付ナる (0.969) | カチッ音がするまで右にまわす (0.999) | 了コ (0.707) | 虫ストップ構造の場合は、 (0.998) | カバ一の密着性を高めている (0.974) | 一で (0.764) | ため、はずしにくくなる場合が (0.987) | あります (0.969)"
tr_img_06405,18,0.8491,"レンジで (0.864) | 時短 (1.000) | くさみ (0.738) | 落とし (1.000) | とり (0.936) | ぶた (0.999) | ダシ (0.581) | 1枚で簡単に (0.986) | とし (0.745) | キ (0.997) | オフ (0.767) | クツキングペーバ (0.664) | で (0.631) | 電子レンジ (0.918) | 加熱OK (0.992) | 38枚入 (1.000) | メ2ロール (0.918)"
tr_img_06406,6,0.6946,""
tr_img_06407,11,0.8915,"昭和通り口 (0.990) | 中央改木口 (0.842) | 昭和路出口 (0.998) | 中央剪票口 (0.999) | 金乳Ｅ (0.531) | 善子 (0.811) | 香 (0.689)"
